GEO_NAME,areatype,pop_size,division,region,commute,hh_chil,edu_hs,edu_coll,income,income2,no_car,female,age,senior,white,black,indian,asian,hawaiian,other,hispanic
"Vallejo-Fairfield, CA  Metro Area",2,407234,1,1,28.5,33.7,85.9,24.2,65783,65.783,5.2,49.8,36.7,11.4,60.6,16.3,2,16.8,1.6,11.3,22.8
"Victoria, TX  Metro Area",2,114993,7,4,21.9,31,80.3,16.7,47787,47.787,6,50.6,36.1,13.5,83.7,6.7,3.3,1.6,-999999999,9.9,43.6
"Vineland-Millville-Bridgeton, NJ  Metro Area",2,157745,5,3,23.3,34.4,77.2,15.7,48959,48.959,11,48.4,36,12.5,67.4,23.1,2.3,1.5,-999999999,10.2,24.8
"Virginia Beach-Norfolk-Newport News, VA-NC  Metro Area",2,1675792,9,4,23.2,31.4,89.4,27.2,55209,55.209,6.6,51.1,34.7,11.6,63.8,32.9,1.1,4,.2,1.2,4.5
"Visalia-Porterville, CA  Metro Area",2,429668,1,1,20.4,42.1,67.4,12.1,39997,39.997,6.2,49.6,29.4,9.5,81.9,2.4,2.4,4.1,.2,12.1,58.3
"Waco, TX  Metro Area",2,233378,7,4,19.5,28.5,80.4,21.1,38837,38.837,7.1,51.6,31,12.2,77.6,15.7,1.2,1.8,.1,5.9,22.5
"Warner Robins, GA  Metro Area",2,135715,9,4,20.9,32,88.5,27.6,49965,49.965,3.9,51.2,33.4,10.8,68.5,29.2,.9,2.9,-999999999,1.1,4.2
"Warsaw, IN  Micro Area",1,76499,4,2,19.3,38.7,87.7,18.7,46494,46.494,5.2,50.5,37.7,12.9,94.7,.9,-999999999,1.2,-999999999,3.7,7.3
"Washington-Arlington-Alexandria, DC-VA-MD-WV  Metro Are",2,5476241,9,4,33.4,31.2,90,47.3,85168,85.168,9.8,51.1,36.1,10,59.3,27.2,1,9.7,.1,5.7,13
"Waterloo-Cedar Falls, IA  Metro Area",2,166511,3,2,17,25.2,91.5,25,44487,44.487,7.3,51,35.3,14.5,91.3,7.2,.5,1.3,-999999999,1.8,2.4
"Watertown-Fort Atkinson, WI  Micro Area",1,80833,4,2,22.4,30.1,89.5,24.1,52833,52.833,4.3,49.4,38.6,13.1,97.7,1,1,.8,-999999999,1.7,6.1
"Watertown-Fort Drum, NY  Micro Area",1,118719,5,3,18.3,32.6,87.7,19.5,43080,43.08,10.2,49.5,34.1,11.8,92.8,5.3,3.2,1.6,-999999999,2,4.8
"Wausau, WI  Metro Area",2,131612,4,2,18.4,28.4,89.1,20.9,49674,49.674,5.9,50.1,39.2,14.1,93.6,.9,.6,5.5,-999999999,.4,1.5
"Weirton-Steubenville, WV-OH  Metro Area",2,120929,4,2,23.6,25.4,87.6,13.7,37892,37.892,9.2,51.8,44.5,19.1,95.5,4.8,.7,.5,-999999999,-999999999,.6
"Wenatchee-East Wenatchee, WA  Metro Area",2,109937,1,1,17.5,30.3,83,24.6,49755,49.755,4.7,50.8,38.4,14.3,86.9,-999999999,1.8,1.8,.2,11.7,25.1
"Wheeling, WV-OH  Metro Area",2,144637,1,1,22.5,24.1,86.6,18.5,39009,39.009,9.2,50.9,43.6,17.9,95.9,3.8,.9,.7,-999999999,.4,.9
"Whitewater, WI  Micro Area",1,100593,4,2,24.9,29.2,90.8,27.9,49482,49.482,6.7,48.8,38.5,13.2,95.8,1.3,.7,1.2,-999999999,2.1,9.4
"Wichita Falls, TX  Metro Area",2,148995,9,4,16.7,29.9,84.4,17.9,43628,43.628,5.9,49.7,35.4,13.8,84.8,10,2.1,2.4,-999999999,3.8,13.6
"Wichita, KS  Metro Area",2,613568,3,2,18.6,31.2,89.7,26.5,48202,48.202,5.5,50.3,34.9,11.9,85.3,8.8,2.2,3.8,-999999999,3.5,9.9
"Williamsport, PA  Metro Area",2,116840,5,3,18.2,25.6,86.8,17.8,39968,39.968,9.4,50.3,40.6,16.4,94.3,5.6,.8,.6,-999999999,.5,1.1
"Willimantic, CT  Micro Area",1,117518,6,3,25.4,30.8,83.8,19.1,58459,58.459,7.3,50.6,38.9,12.6,93.6,2.7,1.5,1.4,-999999999,3.9,8.6
"Wilmington, NC  Metro Area",2,354525,9,4,22.2,24.9,88.9,28.9,44034,44.034,6.4,52,40,15.8,83.1,14.5,1.6,1.1,-999999999,2.2,4
"Wilson, NC  Micro Area",1,78353,9,4,19.9,31.1,81.1,17.3,40053,40.053,10.1,52.1,38.3,13.9,53.8,39.3,-999999999,.9,-999999999,7.5,9.2
"Winchester, VA-WV  Metro Area",2,123989,9,4,30.3,31.2,84,21.4,48498,48.498,3.8,50.5,38.2,13.4,91,5.6,1.7,1.9,-999999999,2.1,6.1
"Winston-Salem, NC  Metro Area",2,484921,9,4,22,31.2,85.8,25.5,45722,45.722,6.3,51.5,38.7,13.6,73,20.4,.8,1.4,-999999999,6,9.7
"Wooster, OH  Micro Area",1,114222,4,2,19.3,30.4,87.5,19.2,47562,47.562,7.5,50.9,38.6,14.2,96.9,2.2,.3,1.1,-999999999,-999999999,1.4
"Worcester, MA  Metro Area",2,803701,6,3,27.7,32.3,88.5,33,63360,63.36,8.4,50.7,39.2,12.5,90.2,4.5,.6,4.1,0,2.6,8.6
"Yakima, WA  Metro Area",2,239054,1,1,19.4,39,70.1,14.6,41249,41.249,5.9,50,31.7,11.5,73.9,1.8,5.7,1.9,.2,20.6,42.4
"Yauco, PR  Metro Area",2,125266,10,5,23.6, , , ,13554,13.554,19.6,51.4,35.4,13,92.2,2.9,-999999999,-999999999,-999999999,5.6,98.2
"York-Hanover, PA  Metro Area",2,428937,5,3,25.7,30.6,87.4,21.4,57027,57.027,5.5,50.5,39.8,14,91.4,6.2,.5,1.5,-999999999,2.5,4.9
"Youngstown-Warren-Boardman, OH-PA  Metro Area",2,562963,4,2,22.1,25,86.9,17.6,40920,40.92,9.2,51.6,42.2,17.4,88,11.6,.6,.8,-999999999,.6,2.2
"Yuba City, CA  Metro Area",2,165539,1,1,28,39.4,77.6,16.9,47327,47.327,6.5,49.6,32.9,11,72.9,3.2,4.4,11.7,.9,13.6,26
"Yuma, AZ  Metro Area",2,196972,2,1,18.3,38.2,69.5,13.9,38681,38.681,5.7,50.3,35.2,18.7,79.4,3.2,2.2,1.5,-999999999,15.7,57
"Zanesville, OH  Micro Area",1,84884,4,2,22.2,29.4,86,13.6,36989,36.989,6.7,52.2,40,15.8,96.6,5.2,.9,.5,-999999999,-999999999,.7
